disparō,disparāre,disparāvī,disparātum,I,,"separate, divide",
dispellō,dispellere,dispulī,dispulsum,III,,"drive away, disperse, dispel",
dīspergō,dīspergere,dīspersī,dīspersum,III,,scatter about,
dispōnō,dispōnere,disposuī,dispositum,III,,"dispose, distribute",
disputō,disputāre,disputāvī,disputātum,I,,"estimate, debate, think differently",
dissecō,dissecāre,dissecāvī,dissectum,I,,"cut into pieces, dismember, dissect",
dissentiō,dissentīre,dissēnsī,dissēnsum,IV,,"disagree, dissent",
dissolvō,dissolvere,dissolvī,dissolūtum,III,,"unloose, dissolve, abolish",
dīstō,dīstāre,dīstitī,,I,Active Only,stand apart,
distrahō,distrahere,distrāxī,distractum,III,,"pull apart, separate forcibly, divide",
dīvagor,dīvagārī,dīvagātus sum,,I,Deponent,wander about,
dīvertō,dīvertere,dīvertī,dīversum,III,,"turn away, separate, divorce",
dō,dare,dedī,datum,I,,give,
doceō,docēre,docuī,doctum,II,,teach,
doleō,dolēre,doluī,dolitum,II,,"hurt, suffer grieve",
dōnō,donāre,dōnāvī,dōnātum,I,,"grant, give",
dormiō,dormīre,dormīvī,dormītum,IV,,sleep,
dūcō,dūcere,dūxī,ductum,III,,"lead, bring, take along","Pres. Act. Imperatives duc, ducite"
ēdīcō,ēdīcere,ēdīxī,ēdictum,III,,"declare, publish, decree","Pres. Act. Imperatives ēdīc, ēdīcite"
edō,edere,ēdī,ēsum,III,,eat,
ēdō,ēdere,ēdidī,ēditum,III,,"give out, produce, beget",
ēdūcō,ēdūcere,ēdūxī,ēductum,III,,"lead out, raise up",
efferō,efferre,extulī,ēlātum,Irregular,,"carry out, bring forth",
efficiō,efficere,effēcī,effectum,III-i,,"work out, effect, accomplish",
effugiō,effugere,effūgī,effugitum,III-i,,"flee from, escape, evade",
ēgredior,ēgredī,ēgressus sum,,III-i,Deponent,"exit, disembark",
ēiciō,ēicere,ēiēcī,ēiectum,III-i,,"throw out, cast aside",
ēlābōrō,ēlābōrāre,ēlābōrāvī,ēlābōrātum,I,,"endeavor, elaborate",
ēlevō,ēlevāre,ēlevāvī,ēlevātum,I,,"raise, lessen",
ēloquor,ēloquī,ēlocūtus sum,,III,Deponent,"speak out, state, express",
ēmaneō,ēmanēre,ēmānsī,ēmānsum,II,,stay outside,
ēmoveō,ēmovēre,ēmōvī,ēmōtum,II,,"move out, dislodge",
ēmūtō,ēmūtāre,ēmūtāvī,ēmūtātum,I,,"change, alter, transform",
ēnūntiō,ēnūntiāre,ēnūntiāvī,ēnūntiātum,I,,"reveal, disclose",
eō,īre,īvī,ītum,Irregular,Active Only,go,
equitō,equitāre,equitāvī,equitātum,I,,ride a horse,
ērigō,ērigere,ērēxī,ērēctum,III,,"build, erect",
ēripiō,ēripere,ēripuī,ēreptum,III-i,,"rescue, snatch away, take by force",
errō,errāre,errāvī,errātum,I,,"wander, err, make a mistake",
ēsuriō,ēsurīre,ēsurīvī,ēsurītum,IV,,be hungry,
ēvagor,ēvagārī,ēvagātus sum,,I,Deponent,wander off,
ēvehō,ēvehere,ēvexī,ēvectum,III,,"carry out, convey out, export",
ēveniō,ēvenīre,ēvēnī,ēventum,IV,,"come forth, happen",
ēvertō,ēvertere,ēvertī,ēversum,III,,"turn out, overturn, upset",
ēvincō,ēvincere,ēvīcī,ēvictum,III,,"vanquish, prevail in, evict",
ēvocō,ēvocāre,ēvocāvī,ēvocātum,I,,"summon, call out, evoke",
ēvolō,ēvolāre,ēvolāvī,ēvolātum,I,,"fly away, fly out, rush",
ēvolvō,ēvolvere,ēvolvī,ēvolūtum,III,,"roll out, open a scroll",
excēdō,excēdere,excessī,excessum,III,,"go out, go forth, overstep, exceed",
excidō,excidere,excidī,,III,Active Only,"fall out, collapse, slip out",
excīdō,excīdere,excīdī,excīsum,III,,"cut out, extirpate",
excipiō,excipere,excēpī,exceptum,III-i,,"take out, extract, exempt (from)",
exclāmō,exclāmāre,exclāmāvī,exclāmātum,I,,shout out,
excrēscō,excrēscere,excrēvī,excrētum,III,,"grow outward, grow excessively",
excurrō,excurrere,excurrī,excursum,III,,"run out, extend",
exeō,exīre,exīvī,exītum,Irregular,Active Only,"go out, exit, depart",Alternative third part exiī
exerceō,exercēre,exercuī,exercitum,II,,"train, exercise",
exhibeō,exhibēre,exhibuī,exhibitum,II,,"hold forth, present, exhibit",
exhortor,exhortārī,exhortātus sum,,I,Deponent,"encourage, exhort",
exiūrō,exiūrāre,exiūrāvī,exiūrātum,I,,"forswear, disown",
expellō,expellere,expulī,expulsum,III,,"drive out, expel, banish",
experior,experīrī,expertus sum,,IV,Deponent,"attempt, find out, experience",
expetō,expetere,expetīvī,expetītum,III,,"desire, covet, strive for",
expleō,explēre,explēvī,explētum,II,,"fill up, satisfy",
expōnō,expōnere,exposuī,expositum,III,,"put out, display, expose, set forth",
exportō,exportāre,exportāvī,exportātum,I,,carry out,
exquīrō,exquīrere,exquīsīvī,exquīsītum,III,,"seek out, inquire into",
exsecō,exsecāre,exsecāvī,exsectum,I,,"cut off, cut out, geld",
exsequor,exsequī,exsecūtus sum,,III,Deponent,"follow through, perform, execute",
exsolvō,exsolvere,exsolvī,exsolūtum,III,,"release, unbind",
exspectō,exspectāre,exspectāvī,exspectātum,I,,"look out for, wait for",
exspīrō,exspīrāre,exspīrāvī,exspīrātum,I,,"breathe out, die",
exstō,exstāre,exstitī,,I,Active Only,"stand out, be prominent, exist",
extrahō,extrahere,extrāxī,extractum,III,,"pull out, extract",
fābulor,fabulārī,fābulātus sum,,I,Deponent,tell fictional stories,
faciō,facere,fēcī,factum,III-i,,"make, do","Pres. Act. Imperatives fac, facite"
fallō,fallere,fefellī,falsum,III,,"deceive, trick, beguile",
fateor,fatērī,fassus sum,,II,Deponent,"confess, acknowledge",
faveō,favēre,fāvī,fautum,II,,favor,
ferō,ferre,tūlī,lātum,Irregular,,"carry, bear, bring","Pres. Act. Imperatives fer, ferte"
fīdō,fidere,fīsus sum,,III,Semi-Deponent,"trust, have faith in",
fīniō,fīnīre,fīnīvī,fīnītum,IV,,"end, finish, bound",
fiō,fiērī,factus sum,,Irregular,Semi-Deponent,"become, be made",
flō,flāre,flāvī,flātum,I,,"blow, breathe",
for,fārī,fātus sum,,I,Deponent,"say, speak up",
formō,formāre,formāvī,formātum,I,,"form, shape",
frangō,frangere,frēgī,frāctum,III,,break,
fruor,fruī,frūctus sum,,III,Deponent,"enjoy, engage in",w/ Ablative
fugiō,fugere,fūgī,fūgitum,III-i,,"flee, run away",
fungor,fungī,fūnctus sum,,III,Deponent,"work correctly, function",w/ Ablative
fūror,fūrārī,fūrātus sum,,I,Deponent,steal,
gaudeō,gaudēre,gāvīsus sum,,II,Semi-Deponent,"rejoice, be joyful",
gerō,gerere,gessī,gestum,III,,"carry, bear, carry on",
gestō,gestāre,gestāvī,gestātum,I,,"bear, carry continuously, wield",
gradior,gradī,grassus sum,,III-i,Deponent,step,
gregō,gregāre,gregāvī,gregātum,I,,"herd together, assemble",
habeō,habēre,habuī,habitum,II,,have,
habitō,habitāre,habitāvī,habitātum,I,,"dwell, live (in)",
horreō,horrēre,horruī,horritum,II,,"shiver, quake",
hortor,hortārī,hortātus sum,,I,Deponent,encourage,
iaceō,iacēre,iacuī,iacitum,II,,"lie, occupy space",
iaciō,iacere,iēcī,iactum,III-i,,"throw, toss",
iactō,iactāre,iactāvī,iactātum,I,,"throw, cast",
īgniō,īgnīre,īgnīvī,īgnītum,IV,,"set afire, burn",
illūdō,illūdere,illūsī,illūsum,III,,"mock, ridicule",
immaneō,immanēre,immānsī,immānsum,II,,stay in,
immoveō,immovēre,immōvī,immōtum,II,,move into,
immūtō,immūtāre,immūtāvī,immūtātum,I,,"change, alter, transform",
